sub_id,from,to,response,rt
8,1,6,3,4184
8,12,7,2,4836
8,7,13,1,3492
8,1,5,1,5394
8,4,12,1,8125
8,2,4,8,6459
8,9,8,3,4425
8,3,10,2,11089
8,13,7,1,2801
8,6,2,8,3839
8,9,12,2,4902
8,11,2,1,2766
8,13,9,2,3066
8,10,8,7,4114
8,7,2,1,3294
8,8,9,1,3223
8,8,4,6,3062
8,6,8,1,3897
8,4,11,1,6842
8,6,9,1,3072
8,8,11,1,7041
8,13,2,1,4418
8,4,2,8,3953
8,8,2,3,5396
8,3,6,3,4567
8,5,12,1,5276
8,6,5,1,3853
8,5,11,1,5143
8,7,5,4,5335
8,7,4,2,4999
8,3,4,8,5048
8,11,4,1,5825
8,6,1,2,11264
8,11,3,1,5068
8,10,9,3,7354
8,11,13,8,4469
8,2,3,8,2711
8,3,12,1,11210
8,9,13,3,4224
8,12,3,1,2463
8,4,6,8,2550
8,2,13,1,2455
8,10,3,3,3734
8,7,8,2,3442
8,6,12,1,2684
8,5,1,1,3710
8,12,2,1,5558
8,12,8,2,5140
8,8,1,6,3377
8,9,5,1,4265
8,11,1,1,2621
8,11,7,1,2428
8,12,6,1,3096
8,7,1,1,2229
8,7,9,2,3931
8,2,1,8,6527
8,1,9,1,2589
8,6,3,2,3510
8,6,13,1,2566
8,13,1,1,3823
8,3,11,1,2710
8,4,9,1,2757
8,10,11,3,4206
8,5,3,1,3494
8,12,1,1,2556
8,2,8,3,4665
8,1,13,1,2426
8,13,10,3,3816
8,9,4,1,4856
8,13,12,8,2677
8,5,9,2,4188
8,6,7,1,2489
8,8,13,2,3697
8,1,4,8,3532
8,13,4,1,2716
9,3,5,7,7895
9,9,5,5,10179
9,2,3,7,6425
9,7,12,6,10046
9,12,9,7,4493
9,4,2,7,13436
9,2,10,8,8095
9,5,7,7,3550
9,3,4,5,5366
9,11,2,6,5114
9,6,4,5,3825
9,12,5,8,5587
9,4,10,7,4832
9,5,11,7,22000
9,7,13,7,5838
9,12,1,8,2910
9,10,1,7,3134
9,1,2,7,15155
9,9,7,8,4415
9,8,2,7,5022
9,6,5,6,4023
9,3,2,8,4980
9,7,5,7,7325
9,4,3,5,3964
9,8,5,7,45250
9,2,4,6,2774
9,8,4,8,5007
9,13,4,7,2724
9,1,6,7,7676
9,4,12,6,2810
9,9,10,7,2118
9,7,3,6,2257
9,5,12,7,5798
9,3,1,7,14023
9,3,10,8,2691
9,5,1,6,2117
9,1,4,7,4964
9,7,10,6,2764
9,7,2,8,11279
9,8,3,7,3518
9,8,13,8,5982
9,3,11,6,9871
9,8,1,7,5249
9,8,11,6,3352
9,3,13,6,6378
9,11,5,7,9535
9,4,1,6,5043
9,6,12,5,5604
9,9,8,7,2349
9,13,12,7,3503
9,10,11,8,4047
9,4,5,6,6250
9,5,13,7,2936
9,11,12,8,2918
9,6,3,6,2586
9,10,13,7,3223
9,13,10,8,3806
9,13,5,7,3071
9,9,12,6,3525
9,6,7,7,5645
9,13,7,8,2228
9,4,8,6,3473
9,12,10,7,14071
9,10,7,6,2982
9,12,2,8,3525
9,7,11,7,2259
9,1,3,5,3358
9,10,3,6,2028
9,9,1,7,4121
9,4,9,6,2658
9,2,1,7,2461
9,5,2,6,2556
9,2,13,7,6596
9,11,1,6,3344
9,9,3,7,4419
9,10,12,6,4056
9,2,8,7,9142
9,9,4,6,3131
9,9,13,7,2463
9,3,8,8,3591
9,5,3,6,5578
9,4,7,7,24115
9,13,2,6,2269
9,13,3,6,3811
9,8,9,6,2083
9,4,11,7,2748
9,2,6,7,3206
9,2,5,6,1763
9,3,12,7,2073
9,8,6,7,2758
9,9,6,6,2314
9,11,3,6,2771
9,11,9,7,2413
9,12,6,8,1931
9,9,11,7,2029
9,5,8,6,2288
9,11,7,7,1922
9,10,5,8,1536
9,6,1,7,2710
9,10,8,6,2294
9,7,1,7,2034
9,7,8,7,21763
9,12,4,8,2565
9,2,9,6,1919
9,12,7,7,2732
9,11,13,8,2160
9,2,12,7,2514
9,7,9,6,1644
9,12,11,7,1932
9,5,10,8,2301
9,6,2,6,2467
9,4,13,7,2089
9,10,4,6,12900
9,3,6,7,3177
9,3,7,7,2730
9,13,9,8,2185
9,11,4,6,2371
9,6,13,7,1847
9,5,9,7,5557
9,13,11,8,2243
9,10,9,6,1617
9,10,2,7,1774
9,1,12,6,2212
9,7,4,7,2004
9,6,9,8,6289
9,1,11,7,3002
9,6,11,6,1669
9,7,6,7,2016
9,1,9,7,2630
9,9,2,8,2873
9,6,8,8,1884
9,11,8,7,1697
9,1,7,8,1584
9,11,6,6,2501
9,2,7,6,1953
9,1,8,7,1838
9,1,5,8,2500
9,1,13,7,3155
9,8,7,6,3657
9,8,10,7,2616
9,1,10,8,2232
9,2,11,6,3898
9,13,8,5,2426
9,5,4,7,2295
9,8,12,8,2165
9,13,1,7,2931
9,13,6,7,3432
9,4,6,7,3651
9,12,3,6,4256
9,10,6,7,3156
9,11,10,7,14047
9,6,10,7,11480
9,3,9,7,3447
9,12,13,8,2432
9,5,6,6,3068
9,12,8,7,2052
10,13,10,5,5721
10,12,6,5,2328
10,11,7,10,3516
10,2,13,5,3313
10,3,6,5,2008
10,10,12,5,1526
10,13,7,8,4592
10,5,2,5,2110
10,8,9,8,3126
10,2,6,7,5658
10,11,8,10,21148
10,12,3,5,2196
10,6,13,5,5889
10,4,2,10,7029
10,1,7,5,2576
